step,name,rows,cols,columns_added,columns_removed,memory_mb,duration_note,timestamp
1,raw,171962,45,Benefit per order|Category Id|Category Name|Customer City|Customer Country|Customer Id|Customer Segment|Customer State|Days for shipment (scheduled)|Days for shipping (real)|Delivery Status|Department Id|Department Name|Late_delivery_risk|Latitude|Longitude|Market|Order City|Order Country|Order Customer Id|Order Id|Order Item Cardprod Id|Order Item Discount|Order Item Discount Rate|Order Item Id|Order Item Product Price|Order Item Profit Ratio|Order Item Quantity|Order Item Total|Order Profit Per Order|Order Region|Order State|Order Status|Product Card Id|Product Category Id|Product Image|Product Name|Product Price|Product Status|Sales|Sales per customer|Shipping Mode|Type|order date (DateOrders)|shipping date (DateOrders),,233.96,171962 rows x 53 cols,2026-09-16T20:06:21.144755+00:00
2,cleaned,171962,50,delivery_duration_days|order_day|order_day_of_week|order_is_weekend|order_month|order_quarter|order_week_of_year|order_year|period_monthly|period_weekly|ship_day_of_week|ship_month|ship_year,Category Id|Department Id|Order Customer Id|Order Item Cardprod Id|Order Item Id|Product Card Id|Product Category Id|Product Image,221.47,quality_score=0.990,2026-09-16T20:06:35.276879+00:00
3,tier1_features,171962,106,category_demand_rank|composite_risk_score|days_scheduled|days_until_reorder|delay_category|delivery_gap|demand_lag_1m|demand_lag_3m|demand_momentum|demand_spike_flag|demand_trend|demand_trend_slope|demand_variability|demand_volatility|discount_rate|graph_avg_shipping_delay|graph_inventory_stress|graph_supplier_reliability|graph_tpke_edge_density|inventory_stress_index|is_delayed|is_holiday_period|is_holiday_week|is_weekend|is_weekend_order|order_dayofweek|order_value_log|order_value_tier|price_ratio|qty_lag_1|qty_lag_30|qty_lag_7|qty_roll_30|qty_roll_7|region_congestion_index|region_hist_late_rate|reorder_point|revenue_per_unit|rolling_14d_demand|rolling_30d_demand|rolling_7d_demand|route_frequency|route_hist_late_rate|shipmode_hist_late_rate|shipping_delay|shipping_delay_ratio|shipping_efficiency_score|shipping_mode_encoded|stock_coverage_ratio|supplier_category_diversity|supplier_delay_rate|supplier_hist_late_rate|supplier_order_volume|supplier_reliability_score|supplier_risk_index|supplier_volume,,294.12,106 cols after Tier-1 FE,2026-09-16T20:06:51.016456+00:00
4,graph_enriched,171962,106,,,294.12,graph_enriched=True,2026-09-16T20:08:44.691039+00:00
5,training_input,171962,106,,,294.12,final frame passed to train_all,2026-09-16T20:11:27.890069+00:00
