saved_at,incident_id,target_id,target_label,rca_type,primary_root_cause,decision_confidence,financial_loss,affected_orders,affected_customers,expected_delay,revenue_impact,recovery_time_days,top_evidence
2026-09-17T02:14:22.568988+00:00,INC-1789611262,forecast_deviation_2017-10_shop_by_sport__western_europe_,Supplier,late_delivery,Carrier Ground Transport Transit Delay & Capacity Limitation,92.9,2252950.42,7541,6409,2.5,1915007.86,7,High centrality node Carrier Ground Transport (Degree: 18)
2026-09-17T02:14:22.974856+00:00,INC-1789611262,forecast_deviation_2017-10_shop_by_sport__western_europe_,Supplier,late_delivery,Carrier Ground Transport Transit Delay & Capacity Limitation,92.9,2252950.42,7541,6409,2.5,1915007.86,7,High centrality node Carrier Ground Transport (Degree: 18)
2026-09-17T02:14:23.445063+00:00,INC-1789611263,forecast_deviation_2017-10_shop_by_sport__western_europe_,Product,late_delivery,Carrier Ground Transport Transit Delay & Capacity Limitation,92.9,2252950.42,7541,6409,2.5,1915007.86,7,High centrality node Carrier Ground Transport (Degree: 18)
2026-09-17T02:22:03.358484+00:00,INC-1789611723,supplier_delay_main,Supplier,late_delivery,Carrier Ground Transport Transit Delay & Capacity Limitation,92.9,2252950.42,7541,6409,2.5,1915007.86,7,High centrality node Carrier Ground Transport (Degree: 18)
2026-09-17T02:22:03.856729+00:00,INC-1789611723,supplier_delay_main,Supplier,late_delivery,Carrier Ground Transport Transit Delay & Capacity Limitation,92.9,2252950.42,7541,6409,2.5,1915007.86,7,High centrality node Carrier Ground Transport (Degree: 18)
2026-09-17T02:29:32.605004+00:00,INC-1789612172,supplier_delay_main,Supplier,late_delivery,Carrier Ground Transport Transit Delay & Capacity Limitation,92.9,2252950.42,7541,6409,2.5,1915007.86,7,High centrality node Carrier Ground Transport (Degree: 18)
